ID,Education,Income,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Living_With,Children_at_home,Family_Size,Total_Spending,Total_Purchases
4119,Postgraduate,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,Partner,0,2,318,10
535,Graduate,81361.0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,124,Alone,0,1,778,26
5268,Graduate,29440.0,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,322,Partner,2,4,56,5
273,Postgraduate,36138.0,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,348,Partner,2,4,151,8
4452,Graduate,50388.0,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,32,Alone,1,2,372,13
8504,Graduate,79593.0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,48,Partner,0,2,1366,18
771,Graduate,54178.0,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,159,Partner,1,3,194,9
8996,PhD,51381.5,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,587,Partner,3,5,603,17
9235,Graduate,51381.5,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,33,Alone,2,3,18,3
5798,Postgraduate,51381.5,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,218,Partner,0,2,985,14
11178,Postgraduate,42394.0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,98,Alone,1,2,32,4
2230,PhD,23626.0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,36,Partner,1,3,43,7
7516,Graduate,30096.0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,38,Partner,1,3,45,5
7247,Graduate,47916.0,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,584,Alone,1,2,606,17
11100,Graduate,51813.0,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,444,Alone,2,3,63,5
4646,Undergraduate,78497.0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,210,Partner,0,2,978,24
3037,PhD,50150.0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,374,Partner,0,2,410,14
1473,Undergraduate,47823.0,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,341,Alone,1,2,72,5
1016,PhD,34554.0,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,91,Alone,1,2,55,5
4518,Graduate,85693.0,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,435,Partner,1,3,1169,25
9370,PhD,65846.0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,408,Partner,0,2,1120,15
8908,Graduate,87195.0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,52,Partner,0,2,1097,19
8373,Undergraduate,24594.0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,201,Partner,1,3,29,4
7533,Graduate,49096.0,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,278,Partner,2,4,187,9
2683,Graduate,52413.0,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,512,Partner,2,4,910,22
3629,Graduate,38557.0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,557,Alone,1,2,145,7
10991,Postgraduate,89058.0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,569,Partner,0,2,850,13
5077,Graduate,77298.0,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,239,Partner,1,3,969,23
7431,PhD,68126.0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,596,Alone,0,1,1820,16
3267,Postgraduate,57288.0,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,4,Partner,1,3,608,17
999,Graduate,86037.0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,543,Alone,0,1,730,24
9215,PhD,43974.0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,564,Partner,1,3,551,16
2286,Graduate,50785.0,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,292,Alone,2,3,114,6
1592,Graduate,90765.0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,156,Partner,0,2,1724,15
367,Undergraduate,36550.0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,495,Partner,1,3,577,15
5234,Undergraduate,30753.0,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,353,Partner,2,4,81,5
9862,Graduate,21918.0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,227,Partner,1,3,33,5
9805,Postgraduate,56129.0,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,374,Partner,1,3,660,18
6205,Postgraduate,32557.0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,125,Alone,1,2,80,6
8442,Postgraduate,19510.0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,298,Partner,2,4,30,4
7386,Graduate,30992.0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,433,Alone,1,2,43,4
7215,Graduate,101970.0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,474,Alone,0,1,1135,27
1491,Undergraduate,71488.0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,496,Partner,0,2,559,14
11071,Graduate,79607.0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,434,Alone,0,1,1923,15
3381,Postgraduate,54348.0,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,21,Partner,2,4,90,6
8268,PhD,51381.5,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,353,Partner,1,3,404,14
11051,PhD,77376.0,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,50,Partner,2,4,661,19
8026,Graduate,62998.0,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,272,Partner,1,3,463,14
433,Postgraduate,61331.0,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,476,Alone,2,3,632,18
9597,Graduate,73448.0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,139,Partner,0,2,725,18
1295,Graduate,51381.5,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,322,Partner,1,3,725,18
5290,PhD,41551.0,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,319,Partner,2,4,279,11
1685,PhD,62981.0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,469,Partner,0,2,1482,22
5342,Undergraduate,9548.0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,690,Alone,1,2,29,4
9579,PhD,33762.0,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,55,357,Partner,3,5,106,6
7660,PhD,35860.0,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,41,41,Alone,2,3,49,4
1461,PhD,36921.0,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,49,336,Alone,2,3,38,5
821,Postgraduate,92859.0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,22,618,Alone,0,1,2077,21
11084,Postgraduate,65104.0,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,38,227,Partner,1,3,1053,15
8690,Graduate,86111.0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,52,436,Partner,0,2,1385,22
2937,PhD,68352.0,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,40,305,Alone,1,2,871,22
9701,Graduate,41883.0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,26,467,Partner,1,3,312,9
9949,Graduate,59809.0,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,38,619,Partner,2,4,877,12
10837,Graduate,23957.0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,39,609,Partner,1,3,68,5
3120,Graduate,38547.0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,33,305,Partner,1,3,22,3
5885,Undergraduate,35688.0,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,41,676,Partner,3,5,211,9
4050,Postgraduate,49605.0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,48,8,Partner,0,2,127,7
3830,Postgraduate,59354.0,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,61,66,Partner,2,4,459,15
7987,Graduate,65747.0,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,45,114,Partner,1,3,460,15
7798,Undergraduate,46344.0,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,42,562,Partner,1,3,429,13
92,Graduate,34176.0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,26,48,Alone,1,2,89,7
7055,PhD,61010.0,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,62,628,Partner,1,3,1021,24
10240,Graduate,69372.0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,65,495,Partner,0,2,1381,20
3025,Graduate,49967.0,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,56,356,Alone,1,2,306,12
9283,Graduate,60199.0,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,36,290,Alone,3,4,18,3
9970,Graduate,55375.0,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,37,255,Partner,1,3,162,8
2730,Graduate,80317.0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,59,313,Alone,0,1,1231,17
2795,Postgraduate,30523.0,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,56,363,Alone,3,4,13,3
9260,PhD,70356.0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,69,601,Partner,0,2,1706,25
8182,Graduate,23228.0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,30,175,Partner,1,3,121,7
10095,PhD,74165.0,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,39,424,Alone,0,1,1293,19
4370,Graduate,43482.0,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,48,228,Partner,3,5,88,6
10573,Graduate,62551.0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,61,223,Alone,0,1,421,17
3712,Graduate,52332.0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,55,305,Alone,0,1,259,11
6637,Graduate,66951.0,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,26,239,Alone,0,1,1117,14
3152,Graduate,26091.0,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,57,124,Partner,2,4,89,6
5610,Graduate,33456.0,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,49,69,Partner,2,4,36,4
6460,Graduate,28718.0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,32,351,Partner,1,3,57,5
1349,Graduate,50447.0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,44,69,Partner,2,4,148,7
1880,PhD,53537.0,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,55,150,Partner,2,4,93,6
641,Graduate,52074.0,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,47,86,Alone,1,2,119,6
8717,PhD,80427.0,2012-09-12,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,39,655,Partner,1,3,1835,27
10314,PhD,83837.0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,66,560,Partner,0,2,1318,24
10854,PhD,38853.0,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,44,37,Partner,2,4,45,5
10492,Graduate,38285.0,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,55,5,Partner,3,5,10,3
6935,Undergraduate,78497.0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,210,Partner,0,2,978,24
7698,PhD,51650.0,2014-05-11,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,38,49,Partner,1,3,191,9
3559,Undergraduate,16248.0,2014-05-10,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,26,50,Partner,1,3,57,6
