ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Children_at_home,Living_With,Family_Size
2968,PhD,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,83,4778,902,24,1,0,Alone,1
8601,Graduate,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,46,4691,1395,21,0,1,Partner,3
503,Postgraduate,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,41,4739,53,7,0,1,Partner,3
8430,Graduate,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,69,4817,22,4,0,1,Partner,3
7281,PhD,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,67,4501,186,9,0,0,Alone,1
2139,Postgraduate,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,51,4535,31,8,0,1,Partner,3
1371,Graduate,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,50,4266,984,16,0,0,Alone,1
9909,Undergraduate,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,30,4862,122,10,0,0,Partner,2
7286,Graduate,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,58,4666,55,5,0,1,Partner,3
7244,Graduate,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,75,4444,124,10,0,3,Alone,4
6566,PhD,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,72,4863,1319,28,0,2,Partner,4
8614,Graduate,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,69,4313,507,17,0,1,Alone,2
4114,Postgraduate,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,62,4952,1693,29,0,0,Partner,2
1331,Graduate,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,49,4808,72,7,0,1,Alone,2
2225,Graduate,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,49,4287,1617,21,2,0,Alone,1
9381,Graduate,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,48,4647,606,23,0,2,Partner,4
6260,Postgraduate,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,71,4852,1957,27,1,0,Partner,2
10383,Graduate,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,60,4718,1093,21,0,0,Alone,1
7437,Graduate,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,38,4327,29,6,0,1,Alone,2
8557,Graduate,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,44,4642,46,7,0,1,Alone,2
8375,PhD,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,58,4383,518,19,0,1,Partner,3
6853,Postgraduate,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,44,4625,1438,21,2,0,Alone,1
3076,Graduate,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,51,4925,612,22,0,2,Partner,4
1012,Graduate,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,74,4761,884,24,0,1,Alone,2
6518,PhD,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,75,4648,606,19,0,1,Alone,2
4137,Graduate,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,78,4470,1076,16,0,0,Partner,2
8082,Graduate,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,55,4669,34,5,0,1,Partner,3
1386,Graduate,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,59,4314,11,4,0,2,Partner,4
9369,Undergraduate,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,47,4367,1274,32,2,1,Alone,2
4477,Graduate,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,68,4540,653,18,0,1,Partner,3
1357,Graduate,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,56,4712,1562,19,0,3,Partner,5
1402,Postgraduate,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,72,4921,1253,21,0,0,Partner,2
10629,Undergraduate,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,53,4918,109,9,0,1,Partner,3
6312,Graduate,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,67,4734,863,30,0,1,Partner,3
8132,PhD,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,51,4715,661,24,1,2,Partner,4
1050,Graduate,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,74,4325,65,8,0,0,Partner,2
5846,Graduate,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,49,4822,13,4,0,1,Alone,2
1859,Postgraduate,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,54,4936,1890,19,0,0,Partner,2
7503,Graduate,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,50,4890,2209,22,1,0,Alone,1
10401,Undergraduate,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,50,4563,18,4,0,0,Partner,2
1618,Graduate,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,61,4808,692,21,1,0,Partner,2
3332,Graduate,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,41,4934,165,12,0,1,Alone,2
2261,Graduate,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,57,4636,16,4,0,1,Partner,3
5346,Undergraduate,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,53,4626,79,9,0,1,Partner,3
4119,Postgraduate,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,63,4679,318,11,0,0,Partner,2
535,Graduate,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,39,4389,778,27,0,0,Alone,1
5268,Graduate,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,66,4587,56,7,0,2,Partner,4
273,Postgraduate,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,56,4613,151,13,1,2,Partner,4
4452,Graduate,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,69,4297,372,17,2,1,Alone,2
8504,Graduate,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,53,4313,1366,19,1,0,Partner,2
771,Graduate,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,59,4424,194,10,0,1,Partner,3
8996,PhD,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,69,4852,603,29,0,3,Partner,5
9235,Graduate,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,69,4298,18,4,0,2,Alone,3
5798,Postgraduate,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,53,4483,985,15,0,0,Partner,2
11178,Postgraduate,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,54,4363,32,5,0,1,Alone,2
2230,PhD,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,56,4301,43,10,0,1,Partner,3
7516,Graduate,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,43,4303,45,6,0,1,Partner,3
7247,Graduate,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,66,4849,606,22,1,1,Alone,2
11100,Graduate,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,54,4709,63,7,0,2,Alone,3
4646,Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,75,4475,978,25,1,0,Partner,2
3037,PhD,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,43,4639,410,16,0,0,Partner,2
1473,Undergraduate,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,66,4606,72,7,0,1,Alone,2
1016,PhD,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,67,4356,55,7,0,1,Alone,2
4518,Graduate,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,47,4700,1169,27,0,1,Partner,3
9370,PhD,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,81,4673,1120,16,0,0,Partner,2
8908,Graduate,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,67,4317,1097,20,0,0,Partner,2
8373,Undergraduate,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,47,4466,29,5,0,1,Partner,3
7533,Graduate,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,62,4543,187,13,0,2,Partner,4
2683,Graduate,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,57,4777,910,26,0,2,Partner,4
3629,Graduate,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,48,4822,145,9,0,1,Alone,2
10991,Postgraduate,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,66,4834,850,14,0,0,Partner,2
5077,Graduate,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,47,4504,969,24,0,1,Partner,3
7431,PhD,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,35,4861,1820,17,1,0,Alone,1
3267,Postgraduate,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,63,4269,608,20,1,1,Partner,3
999,Graduate,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,35,4808,730,25,2,0,Alone,1
9215,PhD,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,46,4829,551,21,0,1,Partner,3
2286,Graduate,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,64,4557,114,8,0,2,Alone,3
1592,Graduate,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,56,4421,1724,15,2,0,Partner,2
367,Undergraduate,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,48,4760,577,20,0,1,Partner,3
5234,Undergraduate,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,59,4618,81,7,0,2,Partner,4
9862,Graduate,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,57,4492,33,7,0,1,Partner,3
9805,Postgraduate,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,73,4639,660,22,0,1,Partner,3
6205,Postgraduate,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,59,4390,80,9,0,1,Alone,2
8442,Postgraduate,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,41,4563,30,6,0,2,Partner,4
7386,Graduate,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,50,4698,43,5,0,1,Alone,2
7215,Graduate,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,43,4739,1135,27,3,0,Alone,1
1491,Undergraduate,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,61,4761,559,16,0,0,Partner,2
11071,Graduate,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,42,4699,1923,16,0,0,Alone,1
3381,Postgraduate,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,73,4286,90,8,0,2,Partner,4
8268,PhD,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,65,4618,404,17,0,1,Partner,3
11051,PhD,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,70,4315,661,23,0,2,Partner,4
8026,Graduate,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,74,4537,463,19,0,1,Partner,3
433,Postgraduate,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,68,4741,632,23,0,2,Alone,3
9597,Graduate,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,57,4404,725,19,0,0,Partner,2
1295,Graduate,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,63,4587,725,19,0,1,Partner,3
5290,PhD,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,62,4584,279,16,0,2,Partner,4
1685,PhD,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,59,4734,1482,23,1,0,Partner,2
5342,Undergraduate,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,50,4955,29,6,0,1,Alone,2
9579,PhD,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,67,4622,106,9,0,3,Partner,5
7660,PhD,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,53,4306,49,6,1,2,Alone,3
1461,PhD,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,61,4601,38,7,0,2,Alone,3
821,Postgraduate,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,34,4883,2077,22,0,0,Alone,1
11084,Postgraduate,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,50,4492,1053,17,0,1,Partner,3
8690,Graduate,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,64,4701,1385,23,0,0,Partner,2
2937,PhD,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,52,4570,871,25,0,1,Alone,2
9701,Graduate,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,38,4732,312,12,0,1,Partner,3
9949,Graduate,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,50,4884,877,15,0,2,Partner,4
10837,Graduate,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,51,4874,68,6,0,1,Partner,3
3120,Graduate,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,45,4570,22,4,0,1,Partner,3
5885,Undergraduate,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,53,4941,211,16,0,3,Partner,5
4050,Postgraduate,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,60,4273,127,8,0,0,Partner,2
3830,Postgraduate,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,73,4331,459,16,0,2,Partner,4
7987,Graduate,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,57,4379,460,19,1,1,Partner,3
7798,Undergraduate,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,54,4827,429,17,0,1,Partner,3
92,Graduate,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,38,4313,89,11,0,1,Alone,2
7055,PhD,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,74,4893,1021,26,0,1,Partner,3
10240,Graduate,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,77,4760,1381,21,2,0,Partner,2
3025,Graduate,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,68,4621,306,15,0,1,Alone,2
9283,Graduate,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,48,4555,18,4,0,3,Alone,4
9970,Graduate,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,49,4520,162,9,0,1,Partner,3
2730,Graduate,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,71,4578,1231,18,0,0,Alone,1
2795,Postgraduate,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,68,4628,13,4,0,3,Alone,4
9260,PhD,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,81,4866,1706,27,0,0,Partner,2
8182,Graduate,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,42,4440,121,11,0,1,Partner,3
10095,PhD,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,51,4689,1293,20,0,0,Alone,1
4370,Graduate,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,60,4493,88,9,0,3,Partner,5
10573,Graduate,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,73,4488,421,18,1,0,Alone,1
3712,Graduate,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,67,4570,259,12,1,0,Alone,1
6637,Graduate,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,38,4504,1117,15,0,0,Alone,1
3152,Graduate,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,69,4389,89,9,0,2,Partner,4
5610,Graduate,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,61,4334,36,6,0,2,Partner,4
6460,Graduate,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,44,4616,57,7,0,1,Partner,3
1349,Graduate,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,56,4334,148,8,0,2,Partner,4
1880,PhD,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,67,4415,93,8,0,2,Partner,4
641,Graduate,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,59,4351,119,7,1,1,Alone,2
8717,PhD,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,51,4920,1835,28,0,1,Partner,3
10314,PhD,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,78,4825,1318,25,2,0,Partner,2
10854,PhD,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,56,4302,45,7,0,2,Partner,4
10492,Graduate,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,67,4270,10,4,0,3,Partner,5
6935,Undergraduate,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,75,4475,978,25,1,0,Partner,2
7698,PhD,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,50,4314,191,10,0,1,Partner,3
3559,Undergraduate,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,38,4315,57,9,0,1,Partner,3
10562,Postgraduate,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,80,4539,1033,24,0,0,Partner,2
10796,Postgraduate,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,42,4423,66,6,0,1,Partner,3
2563,Undergraduate,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,65,4279,43,6,0,0,Partner,2
3518,Graduate,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,43,4836,50,5,0,1,Partner,3
5823,PhD,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,56,4378,39,7,0,1,Alone,2
3934,Graduate,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,60,4596,608,18,0,1,Partner,3
6982,Graduate,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,50,4732,1581,24,0,0,Partner,2
6431,PhD,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,62,4756,68,7,0,2,Partner,4
9733,Undergraduate,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,48,4923,80,5,1,1,Partner,3
5602,PhD,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,37,4673,1282,28,0,0,Partner,2
1324,Graduate,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,38,4660,91,8,0,1,Partner,3
